iter	Passed	Remaining
239	6313	46301
240	6336	46249
241	6362	46217
242	6388	46188
243	6412	46151
244	6438	46118
245	6463	46082
246	6488	46051
247	6514	46022
248	6539	45984
249	6563	45942
250	6587	45904
251	6611	45860
252	6635	45816
253	6660	45784
254	6682	45729
255	6708	45702
256	6732	45659
257	6756	45618
258	6781	45584
259	6804	45535
260	6828	45498
261	6854	45471
262	6880	45441
263	6906	45412
264	6931	45379
265	6955	45341
266	6979	45300
267	7003	45264
268	7028	45225
269	7052	45185
270	7076	45150
271	7102	45119
272	7125	45076
273	7150	45043
274	7175	45012
275	7200	44974
276	7224	44940
277	7249	44903
278	7271	44856
279	7297	44828
280	7322	44796
281	7347	44760
282	7369	44711
283	7395	44686
284	7419	44645
285	7441	44599
286	7465	44558
287	7488	44517
288	7513	44485
289	7541	44466
290	7565	44433
291	7590	44398
292	7615	44367
293	7641	44341
294	7665	44303
295	7688	44259
296	7713	44227
297	7737	44193
298	7763	44165
299	7786	44124
300	7813	44102
301	7837	44066
302	7861	44029
303	7885	43990
304	7909	43956
305	7938	43948
306	7978	43998
307	8012	44015
308	8036	43977
309	8060	43940
310	8085	43910
311	8110	43878
312	8135	43850
313	8160	43817
314	8185	43787
315	8211	43759
316	8235	43723
317	8260	43691
318	8283	43649
319	8307	43613
320	8331	43579
321	8355	43544
322	8379	43507
323	8404	43473
324	8429	43446
325	8455	43419
326	8480	43385
327	8504	43351
328	8530	43325
329	8555	43298
330	8579	43259
331	8601	43214
332	8625	43181
333	8653	43163
334	8678	43134
335	8703	43105
336	8727	43069
337	8750	43028
338	8774	42991
339	8799	42962
340	8822	42922
341	8845	42884
342	8871	42858
343	8896	42825
344	8919	42789
345	8944	42755
346	8968	42723
347	8994	42696
348	9016	42656
349	9038	42611
350	9062	42574
351	9086	42542
352	9111	42510
353	9133	42466
354	9158	42438
355	9184	42412
356	9209	42382
357	9233	42350
358	9257	42314
359	9282	42285
360	9307	42255
361	9330	42218
362	9354	42185
363	9378	42151
364	9400	42106
365	9423	42070
366	9446	42033
367	9469	41993
368	9493	41960
369	9517	41929
370	9542	41899
371	9566	41865
372	9589	41829
373	9613	41796
374	9637	41761
375	9663	41736
376	9687	41703
377	9711	41670
378	9736	41645
379	9761	41616
380	9786	41587
381	9811	41558
382	9835	41523
383	9859	41490
384	9883	41460
385	9907	41427
386	9932	41399
387	9958	41374
388	9983	41345
389	10008	41316
390	10032	41282
391	10056	41251
392	10080	41219
393	10104	41188
394	10127	41151
395	10150	41116
396	10175	41086
397	10199	41053
398	10223	41021
399	10247	40989
400	10271	40958
401	10296	40928
